Date,workoutId,exerciseId,singleSetId,exerciseName,reps,weight,fake_user_id
2020-04-22,fYYp76NxmB,52vo7F7CLd,GCrrZW1tcS,Close-Grip Bench Press,8,61.235042773811365,fake_id_536
2019-09-01,g2vCGK3EHK,mvkMgAdecH,5Zpvpi5VAX,Dumbbell Shoulder Press,15,11.339822735890994,fake_id_527
2020-04-30,X0HsGFZZBh,mvkMgAdecH,Mkr1B6yBct,Dumbbell Shoulder Press,5,18.14371637742559,fake_id_560
2019-11-15,R1cHs3IeKC,ZAIuKpHvue,YJd2EamCJE,Dumbbell Lunge,8,13.607787283069193,fake_id_613
2020-03-02,2dw7G9zMnB,G1mxtZtEs5,bajCdlMyle,Back Squat,8,83.91468824559335,fake_id_548
2019-11-13,YC18a2JiVm,mvkMgAdecH,xdpGjVF7jA,Dumbbell Shoulder Press,6,30.0,fake_id_596
2020-02-04,ibvaG7gFiv,h85ZOw37Wc,MBqYNcpT0x,Dumbbell Bench Press,5,43.091326396385774,fake_id_562
2020-04-11,GB0dDPgN8U,ZAIuKpHvue,yFFnJd43YO,Dumbbell Lunge,10,6.8038936415345965,fake_id_621
2020-02-18,nROvO07BSF,G1mxtZtEs5,ttCywLBkRG,Back Squat,6,38.55539730202938,fake_id_594
2020-01-26,PI2wilcoN7,mvkMgAdecH,88MGCXHMkh,Dumbbell Shoulder Press,20,11.339822735890994,fake_id_612
2019-10-14,FyPlxBbDQr,h85ZOw37Wc,lAQnNVinEu,Dumbbell Bench Press,12,9.071858188712795,fake_id_561
2020-02-05,VbmzllOAh6,52vo7F7CLd,XMHHIM6QUG,Close-Grip Bench Press,5,68.03893641534596,fake_id_511
2019-10-13,dJ7ls9LOhq,52vo7F7CLd,pzFJ0Gd1g8,Close-Grip Bench Press,8,74.84283005688056,fake_id_516
2019-08-15,azekh60o6V,52vo7F7CLd,ACiCt4pSPM,Close-Grip Bench Press,6,97.52247552866254,fake_id_512
2020-01-13,6IKUbO3MIW,52vo7F7CLd,o0qWFtuqDW,Close-Grip Bench Press,9,43.091326396385774,fake_id_527
2020-05-01,tcA2LJNle3,G1mxtZtEs5,ySaTUIYpM5,Back Squat,12,43.091326396385774,fake_id_603
2020-01-18,T0Uh2sbpBK,G1mxtZtEs5,cItmStzfBT,Back Squat,5,61.235042773811365,fake_id_531
